amphoe_id;id;th_name;en_name;zipcode_main;zipcode_all;zipcode_remark;
5002;500206;บ้านแปะ;Ban Pae;50240;50240;;
5002;500207;ดอยแก้ว;Doi Kaeo;50160;50160;;
5002;500209;แม่สอย;Mae Soi;50240;50160/50240;หมู่ 14 ใช้รหัส 50160;
5003;500301;ช่างเคิ่ง;Chang Khoeng;50270;50270;;
5003;500302;ท่าผา;The Pha;50270;50270;;
5003;500303;บ้านทับ;Ban Thap;50270;50270;;
5003;500304;แม่ศึก;Mae Suek;50270;50270;;
5003;500305;แม่นาจร;Mae Na Chon;50270;50270;;
5003;500307;ปางหินฝน;Pang Hin Fon;50270;50270;;
5003;500308;กองแขก;Kong Khaek;50270;50270;;
5004;500401;เชียงดาว;Chiang Dao;50170;50170;;
5004;500402;เมืองนะ;Mueang Na;50170;50170;;
5004;500403;เมืองงาย;Mueang Ngai;50170;50170;;
5004;500404;แม่นะ;Mae Na;50170;50170;;
5004;500405;เมืองคอง;Mueang Khong;50170;50170;;
5004;500406;ปิงโค้ง;Ping Khong;50170;50170;;
5004;500407;ทุ่งข้าวพวง;Thung Khao Phuang;50170;50170;;
5005;500501;เชิงดอย;Choeng Doi;50220;50220;;
5005;500502;สันปูเลย;San Pu Loei;50220;50220;;
5005;500503;ลวงเหนือ;Luang Nuea;50220;50220;;
5005;500504;ป่าป้อง;Pa Pong;50220;50220;;
5005;500505;สง่าบ้าน;Sa-nga Ban;50220;50220;;
5005;500506;ป่าลาน;Pa Lan;50220;50220;;
5005;500507;ตลาดขวัญ;Talat Khwan;50220;50220;;
5005;500508;สำราญราษฎร์;Samran Rat;50220;50220;;
5005;500509;แม่คือ;Mae Khue;50220;50220;;
5005;500510;ตลาดใหญ่;Talat Yai;50220;50220;;
5005;500511;แม่ฮ้อยเงิน;Mae Hoi Ngoen;50220;50220;;
5005;500512;แม่โป่ง;Mae Pong;50220;50220;;
5005;500513;ป่าเมี่ยง;Pa Miang;50220;50220;;
5005;500514;เทพเสด็จ;Thep Sadet;50220;50220;;
5006;500601;สันมหาพน;San Maha Phon;50150;50150;;
5006;500602;แม่แตง;Mae Taeng;50150;50150;;
5006;500603;ขี้เหล็ก;Khilek;50150;50150;;
5006;500604;ช่อแล;Cho Lae;50150;50150;;
5006;500605;แม่หอพระ;Mae Ho Phra;50150;50150;;
5006;500606;สบเปิง;Sop Poeng;50150;50150/50330;หมู่ 2-9, 12-13 ใช้รหัส 50330;
5006;500607;บ้านเป้า;Ban Pao;50150;50150;;
5006;500608;สันป่ายาง;San Pa Yang;50330;50330;;
5006;500609;ป่าแป๋;Pa Pae;50150;50150;;
5006;500610;เมืองก๋าย;Mueang Kai;50150;50150;;
5006;500611;บ้านช้าง;Ban Chang;50150;50150;;
5006;500612;กื้ดช้าง;Kuet Chang;50150;50150;;
5006;500613;อินทขิล;Inthakhin;50150;50150;;
5007;500701;ริมใต้;Rim Tai;50180;50180;;
5007;500702;ริมเหนือ;Rim Nuea;50180;50180;;
5007;500703;สันโป่ง;San Pong;50180;50180;;
5007;500704;ขี้เหล็ก;Khilek;50180;50180;;
5007;500705;สะลวง;Saluang;50330;50330;;
5007;500706;ห้วยทราย;Huai Sai;50180;50180;;
5007;500707;แม่แรม;Mae Raem;50180;50180;;
5007;500708;โป่งแยง;Pong Yaeng;50180;50180;;
5007;500709;แม่สา;Mae Sa;50180;50180;;
5007;500710;ดอนแก้ว;Don Kaeo;50180;50180;;
5007;500711;เหมืองแก้ว;Mueang Kaeo;50180;50180;;
5008;500801;สะเมิงใต้;Samoeng Tai;50250;50250;;
5008;500802;สะเมิงเหนือ;Samoeng Nuea;50250;50250;;
5008;500803;แม่สาบ;Mae Sap;50250;50250;;
5008;500804;บ่อแก้ว;Bo Kaeo;50250;50250;;
5008;500805;ยั้งเมิน;Yang Moen;50250;50250;;
5009;500901;เวียง;Wiang;50110;50110;;
5009;500903;ม่อนปิ่น;Mon Pin;50110;50110;;
5009;500904;แม่งอน;Mae Ngon;50320;50320;;
5009;500905;แม่สูน;Mae Sun;50110;50110;;
5009;500906;สันทราย;San Sai;50110;50110;;
5009;500910;แม่คะ;Mae Kha;50110;50110;;
5009;500911;แม่ข่า;Mae Kha;50320;50320;;
5009;500912;โป่งน้ำร้อน;Pong Nam Ron;50110;50110;;
5010;501001;แม่อาย;Mae Ai;50280;50280;;
5010;501002;แม่สาว;Mae Sao;50280;50280;;
5010;501003;สันต้นหมื้อ;San Ton Mue;50280;50280;;
5010;501004;แม่นาวาง;Mae Na Wang;50280;50280;;
5010;501005;ท่าตอน;Tha Ton;50280;50280;;
5010;501006;บ้านหลวง;Ban Luang;50280;50280;;
5010;501007;มะลิกา;Malika;50280;50280;;
5011;501101;เวียง;Wiang;50190;50190;;
5011;501102;ทุ่งหลวง;Thung Luang;50190;50190;;
