TambonID;TambonThaiShort;TambonEngShort;PostCodeMain;PostCodeAll;PostalCodeRemark;DistrictID;DistrictThaiShort;DistrictEngShort;ProvinceID;ProvinceThai;ProvinceEng;ภูมิภาคอย่างเป็นทางการ
101902;ตลิ่งชัน;Taling Chan;10170;10170;;1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101903;ฉิมพลี;Chimphli;10170;10170;;1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101904;บางพรม;Bang Phrom;10170;10170;;1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101905;บางระมาด;Bang Ramat;10170;10170;;1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
101907;บางเชือกหนัง;Bang Chueak Nang;10170;10170;;1019;ตลิ่งชัน;Taling Chan;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102004;ศิริราช;Sirirat;10700;10700;;1020;บางกอกน้อย;Bangkok Noi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102005;บ้านช่างหล่อ;Ban Chang Lo;10700;10700;;1020;บางกอกน้อย;Bangkok Noi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102006;บางขุนนนท์;Bang Khun Non;10700;10700;;1020;บางกอกน้อย;Bangkok Noi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102007;บางขุนศรี;Bang Khun Si;10700;10700;;1020;บางกอกน้อย;Bangkok Noi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102009;อรุณอมรินทร์;Arun Ammarin;10700;10700;;1020;บางกอกน้อย;Bangkok Noi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102105;ท่าข้าม;Tha Kham;10150;10150;;1021;บางขุนเทียน;Bang Khun Thian;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102107;แสมดำ;Samae Dam;10150;10150;;1021;บางขุนเทียน;Bang Khun Thian;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102201;บางหว้า;Bang Wa;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102202;บางด้วน;Bang Duan;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102206;บางจาก;Bang Chak;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102207;บางแวก;Bang Waek;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102208;คลองขวาง;Khlong Khwang;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102209;ปากคลองภาษีเจริญ;Pak Khlong Phasi Charoen;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102210;คูหาสวรรค์;Khuha Sawan;10160;10160;;1022;ภาษีเจริญ;Phasi Charoen;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102302;หนองแขม;Nong Khaem;10160;10160;;1023;หนองแขม;Nong Khaem;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102303;หนองค้างพลู;Nong Khang Phlu;10160;10160;;1023;หนองแขม;Nong Khaem;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102401;ราษฎร์บูรณะ;Rat Burana;10140;10140;;1024;ราษฎร์บูรณะ;Rat Burana;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102402;บางปะกอก;Bang Pa Kok;10140;10140;;1024;ราษฎร์บูรณะ;Rat Burana;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102501;บางพลัด;Bang Phlat;10700;10700;;1025;บางพลัด;Bang Phlat;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102502;บางอ้อ;Bang O;10700;10700;;1025;บางพลัด;Bang Phlat;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102503;บางบำหรุ;Bang Bamru;10700;10700;;1025;บางพลัด;Bang Phlat;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102504;บางยี่ขัน;Bang Yi Khan;10700;10700;;1025;บางพลัด;Bang Phlat;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102601;ดินแดง;Din Daeng;10400;10400;;1026;ดินแดง;Din Daeng;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102602;รัชดาภิเษก;Ratchadaphisek;10400;10400;;1026;ดินแดง;Din Daeng;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102701;คลองกุ่ม;Khlong Kum;10240;10230/10240;หมู่ 7-12 ใช้รหัส 10230;1027;บึงกุ่ม;Bueng Kum;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102704;นวมินทร์;Nawamin;10240;10240;;1027;บึงกุ่ม;Bueng Kum;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102705;นวลจันทร์;Nuan Chan;10230;10230;;1027;บึงกุ่ม;Bueng Kum;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102801;ทุ่งวัดดอน;Thung Wat Don;10120;10120;;1028;สาทร;Sathon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102802;ยานนาวา;Yan Nawa;10120;10120;;1028;สาทร;Sathon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102803;ทุ่งมหาเมฆ;Thung Maha Mek;10120;10120;;1028;สาทร;Sathon;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102901;บางซื่อ;Bang Sue;10800;10800;;1029;บางซื่อ;Bang Sue;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
102902;วงศ์สว่าง;Wong Sawang;10800;10800;;1029;บางซื่อ;Bang Sue;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103001;ลาดยาว;Lat Yao;10900;10900;;1030;จตุจักร;Chatuchak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103002;เสนานิคม;Sena Nikhom;10900;10900;;1030;จตุจักร;Chatuchak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103003;จันทรเกษม;Chan Kasem;10900;10900;;1030;จตุจักร;Chatuchak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
